split,scope,method,base_context_length,layer,workload,observations,qk_reduction,top2048_recall,top128_recall,top512_recall,weighted_recall,teacher_attention_mass_ratio
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,25,long-code,254,0.4146148440788523,0.9935716043307087,0.9999692421259843,0.9997078001968503,0.996798430089021,0.9976133967175912
test,hybrid_temporal_hot_full_cold_h8,t1_layer,16384,25,long-text,254,0.33067221848582085,0.992193267101378,0.9999077263779528,0.9991926058070866,0.995642691414156,0.9968867703053763
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,2,long-code,254,0.45643169728371874,0.9732867864173228,0.9997231791338582,0.9977777436023622,0.9918460448943163,0.9985843063956223
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,2,long-text,254,0.44081635881732284,0.973636657234252,0.9999077263779528,0.9976239542322834,0.9903093684964686,0.9966313727524796
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,5,long-code,254,0.5352464670901038,0.9744036817175197,0.9999384842519685,0.9983775221456693,0.9874346439977725,0.9985384681903494
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,5,long-text,254,0.45333535560647437,0.9674312561515748,0.9982160433070866,0.9936177411417323,0.9790017957643663,0.9953013525168195
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,8,long-code,254,0.5257090946909831,0.9573599747785433,0.9976316437007874,0.9915415846456693,0.9726996095314117,0.9970412553061826
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,8,long-text,254,0.5010156068219808,0.9491437776820866,0.9947096456692913,0.9856514517716536,0.9620905354799898,0.9929027899075148
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,11,long-code,254,0.442315737685158,0.9811896376722441,0.9999692421259843,0.9989619217519685,0.989554957813786,0.9980955693380602
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,11,long-text,254,0.39032167460997214,0.9766028697096457,0.9999692421259843,0.9978469488188977,0.9864078137831761,0.9985715097590109
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,14,long-code,254,0.3230776352484493,0.9801900067667323,0.9995693897637795,0.9975470595472441,0.9880339199716216,0.9993589036660226
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,14,long-text,254,0.28242691281948346,0.9762433870570866,0.9993848425196851,0.9969703494094488,0.9845387649418176,0.9986174487323742
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,17,long-code,254,0.2950718807658801,0.9699341781496063,0.9998462106299213,0.9981314591535433,0.9885419391181723,0.9987663327351751
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,17,long-text,254,0.2684797145420539,0.9781734436515748,0.999507874015748,0.9976239542322834,0.9872945074751643,0.9985902533985628
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,21,long-code,254,0.20024482738063912,0.9700302965059056,1.0,0.999753937007874,0.9869763812494775,0.998542509457757
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,21,long-text,254,0.2294826410419953,0.9789616141732284,0.9999077263779528,0.9987466166338582,0.9874820840998999,0.9967979208510819
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,25,long-code,254,0.3768293290837931,0.9730753260334646,0.9990772637795275,0.9942790354330708,0.981623262884701,0.9986779563278583
test,hybrid_temporal_hot_full_cold_h8,t1_layer,32768,25,long-text,254,0.347925366844122,0.9725985789862205,0.999138779527559,0.9947634719488189,0.981505047117144,0.9961739790505767
test,pure_no_h56,global_affine_h8,8192,2,long-code,254,0.875,0.7674089566929134,0.9975393700787402,0.9796690452755905,0.978965816889818,0.9905166214035845
test,pure_no_h56,global_affine_h8,8192,2,long-text,254,0.875,0.7516724593996063,0.9964320866141733,0.9729638287401575,0.9808642991378793,0.9881661700291742
test,pure_no_h56,global_affine_h8,8192,5,long-code,254,0.875,0.8199991541584646,1.0,0.9986851008858267,0.9870336597138512,0.9908065941555325
test,pure_no_h56,global_affine_h8,8192,5,long-text,254,0.875,0.8233190821850394,0.9999692421259843,0.9975855068897638,0.9853970242194148,0.992550116887125
test,pure_no_h56,global_affine_h8,8192,8,long-code,254,0.875,0.7986704908956693,1.0,0.9980314960629921,0.9876396026035467,0.9924475823807527
test,pure_no_h56,global_affine_h8,8192,8,long-text,254,0.875,0.8206835168553149,1.0,0.9984313484251969,0.9863663586443375,0.9940283813941916
test,pure_no_h56,global_affine_h8,8192,11,long-code,254,0.875,0.844730407234252,1.0,0.9993387057086615,0.9784276439639792,0.9954605790375785
test,pure_no_h56,global_affine_h8,8192,11,long-text,254,0.875,0.8511703371062992,1.0,0.9994156003937008,0.9789580678627896,0.9961345839495335
test,pure_no_h56,global_affine_h8,8192,14,long-code,254,0.875,0.8324214905265748,0.9999077263779528,0.9960091658464567,0.9708708629910734,0.9902972730112765
