policy,layer,base_context_length,workload,qk_reduction,recall,top128_recall,top512_recall,top2048_recall,index_mass_ratio,newly_hot_miss_rate
dynamic_address_m-0.5,5,8192,long-text,0.2389210019267822,0.9731881049048556,0.99973343175853,0.997334317585302,0.9731881049048556,0.9984358423040705,0.0776296450603078
dynamic_address_m-0.5,5,16384,long-code,0.6728245017015071,0.9243471641240156,0.9968011811023622,0.9874815452755904,0.9243471641240156,0.9870233578337346,0.1846753119511276
dynamic_address_m-0.5,5,16384,long-text,0.6087483339391737,0.9246047613188976,0.9962475393700788,0.9846671998031497,0.9246047613188976,0.983986283906475,0.167995205774244
dynamic_address_m-0.5,5,32768,long-code,0.8014869435388037,0.838985092683727,0.9758858267716536,0.9410474081364828,0.838985092683727,0.9543831889480786,0.2829043226809082
dynamic_address_m-0.5,5,32768,long-text,0.7659885491533682,0.8390491715879265,0.9782234251968503,0.941652312992126,0.8390491715879265,0.954424209650336,0.2836854962788185
dynamic_address_m-0.5,8,8192,long-code,0.2728047740835464,0.9663803621227034,0.9999384842519684,0.9977085383858268,0.9663803621227034,0.9986860683939268,0.0924254002956089
dynamic_address_m-0.5,8,8192,long-text,0.1775205016883743,0.9672518352198164,0.9998564632545932,0.9965448654855644,0.9672518352198164,0.9979775008018176,0.0808551187907761
dynamic_address_m-0.5,8,16384,long-code,0.7243078795254031,0.9340346128608924,0.997682906824147,0.9904394274934384,0.9340346128608924,0.9869609854513772,0.16599051532397
dynamic_address_m-0.5,8,16384,long-text,0.6918078581405235,0.922104402477034,0.9933562992125984,0.9815196440288714,0.922104402477034,0.9802910171203144,0.1798698976290279
dynamic_address_m-0.5,8,32768,long-code,0.7798458585920127,0.8020948675360893,0.9580872703412072,0.910899565288714,0.8020948675360893,0.9304938921123728,0.3089635252289379
dynamic_address_m-0.5,8,32768,long-text,0.7549148099606815,0.7950820722604987,0.9459891732283464,0.901487655839895,0.7950820722604987,0.9309397557545318,0.31621204049479
dynamic_address_m-0.5,11,8192,long-code,0.2020152968313706,0.9795639558727034,0.9999794947506562,0.9989542322834646,0.9795639558727034,0.9987942282092672,0.0625039817780415
dynamic_address_m-0.5,11,8192,long-text,0.2012822063626467,0.9717591453412072,0.9998564632545932,0.9987132956036744,0.9717591453412072,0.998190370142477,0.0842665163846145
dynamic_address_m-0.5,11,16384,long-code,0.5807198099993911,0.9371949844160103,0.9988722112860892,0.9923259104330708,0.9371949844160103,0.9891171492454696,0.1507658003511229
dynamic_address_m-0.5,11,16384,long-text,0.5410533998297045,0.9273319594816272,0.996083497375328,0.985472030839895,0.9273319594816272,0.9846835678468164,0.1546673482503995
dynamic_address_m-0.5,11,32768,long-code,0.7050731915152622,0.8784833292322834,0.980581528871391,0.9528020423228346,0.8784833292322834,0.9640783693613652,0.2091624149614046
dynamic_address_m-0.5,11,32768,long-text,0.7063545150501672,0.8311802821522309,0.9756602690288714,0.9329785925196852,0.8311802821522309,0.95091966547994,0.2743576260784475
dynamic_address_m-0.5,14,8192,long-code,0.24908781318414,0.9697637282644356,0.999015748031496,0.9959194553805776,0.9697637282644356,0.9970028212438004,0.0793026058285163
dynamic_address_m-0.5,14,8192,long-text,0.1156208599301457,0.9835945189468503,0.9999179790026248,0.9988773375984252,0.9835945189468503,0.9985633963361836,0.0465344845497226
dynamic_address_m-0.5,14,16384,long-code,0.5047931076325689,0.9362440534776902,0.991715879265092,0.9799356135170604,0.9362440534776902,0.9847768000090628,0.1282196227835595
dynamic_address_m-0.5,14,16384,long-text,0.4153071744799563,0.9299937971620736,0.9966781496062992,0.982406496062992,0.9299937971620736,0.984809607274904,0.1354277532353637
dynamic_address_m-0.5,14,32768,long-code,0.6276038494335485,0.838871032234252,0.9667609908136484,0.9239101459973752,0.838871032234252,0.9502837927841066,0.2490326204742197
dynamic_address_m-0.5,14,32768,long-text,0.6220407665823711,0.8065150303477691,0.9561597769028872,0.9017798556430446,0.8065150303477691,0.9388734742758033,0.2872456614369307
dynamic_address_m-0.5,17,8192,long-code,0.1938454082868912,0.9566826607611548,0.9976418963254592,0.9892962598425196,0.9566826607611548,0.9960622933641508,0.0909470841288432
dynamic_address_m-0.5,17,8192,long-text,0.1160681900616612,0.9730509760498688,0.9973548228346456,0.9922746473097112,0.9730509760498688,0.9974680632707728,0.057131122139388
dynamic_address_m-0.5,17,16384,long-code,0.4767441860465116,0.9151133940288714,0.9842314632545932,0.9666379593175852,0.9151133940288714,0.9848124323700406,0.1511683868629856
dynamic_address_m-0.5,17,16384,long-text,0.4314082710876298,0.9065255392880578,0.9888041338582676,0.9668788959973752,0.9065255392880578,0.97939717837693,0.1591619753064014
dynamic_address_m-0.5,17,32768,long-code,0.6629699591737249,0.8452725147637795,0.9609785104986877,0.919670685695538,0.8452725147637795,0.9571016937643788,0.2289191494507631
dynamic_address_m-0.5,17,32768,long-text,0.6540543828700043,0.7927444738353019,0.9349163385826772,0.879393249671916,0.7927444738353019,0.9327872051347612,0.2882725904400752
dynamic_address_m-0.5,21,8192,long-code,0.1009831290205122,0.9832651533792652,0.9998974737532808,0.998303190616798,0.9832651533792652,0.9989764820883332,0.0417111009138304
dynamic_address_m-0.5,21,8192,long-text,0.0772480386240193,0.9858846989829396,0.9991797900262468,0.9954785925196852,0.9858846989829396,0.998139049615612,0.0270217065668306
dynamic_address_m-0.5,21,16384,long-code,0.3503862765375023,0.9435170091043308,0.9946071194225722,0.9828524852362204,0.9435170091043308,0.9910067847239926,0.1064839226106858
dynamic_address_m-0.5,21,16384,long-text,0.4306759624128523,0.9292338213582676,0.988394028871391,0.9707800196850394,0.9292338213582676,0.9824615745242696,0.1236310686685262
dynamic_address_m-0.5,21,32768,long-code,0.5753291077523159,0.8669670685695539,0.9736712598425196,0.9376486630577427,0.8669670685695539,0.9652240134072048,0.2029989760959785
dynamic_address_m-0.5,21,32768,long-text,0.5961099442973244,0.853396438238189,0.9759063320209974,0.9309331938976378,0.853396438238189,0.9609752279252046,0.2210585563327141
dynamic_address_m-0.5,25,8192,long-code,0.2570906877662812,0.9789090694717848,0.999753937007874,0.9979751066272966,0.9789090694717848,0.998152564063542,0.0588900411085012
dynamic_address_m-0.5,25,8192,long-text,0.1006167613979924,0.9881313053641732,0.9999589895013123,0.9985953904199476,0.9881313053641732,0.9990200361259104,0.0332304940510097
