policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_pos_w16_b64_r0.1,head,16,0.1,1152,0.24185864345234456,0.25367013741279476,0.5663005966431619,0.1423611111111111,0.9800419277615018,0.9991183810763888,0.9979688856336806,0.9955393473307291,0.9902564154730903,0.9800419277615018,0.9963019317497817,0.23666634244399054,0.1984361213375118,,0.38785188620827454,0.38521940443650116,0.03806468424383327,3610968064.0,0.0,368574464.0
Aggressive,streak2_bucket8_m0,head_dynamic_pos_w16_b64_r0.1,head,16,0.1,1152,0.2654309224074003,0.2621230380279512,0.5545856086032871,0.027777777777777776,0.9788441128200955,0.9988606770833334,0.9976060655381944,0.9949578179253472,0.9894273546006944,0.9788441128200955,0.9960105172284242,0.2227084436415735,0.18905216120993384,,0.28396512750262537,0.2715179187256538,0.04181599136370251,3963518976.0,0.0,404897792.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_random_w4_b64_r0.01,dim,4,0.01,1152,0.38056851248486634,0.40259859689716737,0.9807235906180238,0.140625,0.9669223361545138,0.9974500868055556,0.9954121907552084,0.9910871717664931,0.9827312893337674,0.9669223361545138,0.9931317271744855,0.022238927519889744,0.019987616099071206,,0.362972660775725,0.3705150462962963,0.004847764951928446,0.0,120271872.0,46940160.0
Aggressive,streak2_bucket8_m0,dim_random_w4_b64_r0.01,dim,4,0.01,1152,0.46045090044700504,0.4496402944552489,0.9792093758340285,0.019965277777777776,0.9486351013183594,0.9943644205729166,0.9904242621527778,0.9831797281901041,0.9705276489257812,0.9486351013183594,0.9882205264875018,0.017766682606968884,0.016697491014411838,,0.2930849084338309,0.27032696759259256,0.005883308459984365,0.0,145529344.0,56967168.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_random_w4_b64_r0.02,dim,4,0.02,1152,0.37418388878618475,0.3949849178002788,0.9769373826462503,0.140625,0.9682795206705729,0.9975925021701388,0.9956563313802084,0.9914669460720487,0.9834552341037326,0.9682795206705729,0.9934561995710793,0.036957920473555526,0.03406646250411278,,0.3555592505801312,0.3528997189153439,0.008746281688138966,0.0,119497216.0,84688896.0
Aggressive,streak2_bucket8_m0,dim_random_w4_b64_r0.02,dim,4,0.02,1152,0.4480917726014113,0.4401286606001521,0.9754869548259322,0.019965277777777776,0.9520382351345487,0.9947374131944444,0.9910888671875,0.9843665228949653,0.9725867377387153,0.9520382351345487,0.9891033678661102,0.028278473838332662,0.027740745475464325,,0.2774741036347174,0.2453166335978836,0.01042311766278507,0.0,143090176.0,100925440.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_random_w4_b64_r0.05,dim,4,0.05,1152,0.3564892417821353,0.3775161644504087,0.9654136993717214,0.140625,0.9714808993869357,0.9978976779513888,0.9961785210503472,0.9923587375217013,0.9851269192165799,0.9714808993869357,0.9941950209135381,0.07939743870402802,0.0738619716058919,,0.34130218637401477,0.32949863962233755,0.020216787310869483,0.0,117558272.0,195756032.0
Aggressive,streak2_bucket8_m0,dim_random_w4_b64_r0.05,dim,4,0.05,1152,0.41736599489270204,0.40948243015843566,0.9623747046181325,0.019965277777777776,0.9592620001898872,0.9956461588541666,0.9926113552517362,0.9869113498263888,0.9769092135959201,0.9592620001898872,0.9909474645586316,0.06024013923382287,0.059308671922377196,,0.2503895042971864,0.2125353953283439,0.023627989455053688,0.0,137625600.0,228786176.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_random_w4_b64_r0.1,dim,4,0.1,1152,0.3299201213102357,0.3483402935537497,0.9462305109690321,0.14149305555555555,0.9752256605360243,0.9982096354166666,0.9967074924045138,0.9933149549696181,0.987044440375434,0.9752256605360243,0.9950225506593395,0.1362366814937416,0.13137711623679127,,0.328697285828603,0.3068038211079893,0.038804116454650976,0.0,115073024.0,375734272.0
Aggressive,streak2_bucket8_m0,dim_random_w4_b64_r0.1,dim,4,0.1,1152,0.37603729879409264,0.3683979422217416,0.9435539558505579,0.019965277777777776,0.9665260314941406,0.9968058268229166,0.9942660861545138,0.9895121256510416,0.9811893039279513,0.9665260314941406,0.9927384903949744,0.10544379502514611,0.10801809871609362,,0.227606883859432,0.18521155855919322,0.04419503412894209,0.0,131151872.0,427933696.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w4_b64_r0.01,dim,4,0.01,1152,0.38203411297788253,0.40212639797002847,0.9807461994892404,0.140625,0.9659695095486112,0.9973551432291666,0.9952494303385416,0.9907853868272569,0.9821811252170138,0.9659695095486112,0.9928825700995074,0.012799862287744839,0.0125,,0.31083374810420644,0.2944878472222222,0.004881606243041385,0.0,120739840.0,47267840.0
Aggressive,streak2_bucket8_m0,dim_had_random_w4_b64_r0.01,dim,4,0.01,1152,0.4655421133571709,0.45348943944744874,0.9790842516314749,0.019965277777777776,0.945230695936415,0.9936455620659722,0.9893222384982638,0.9815555148654513,0.9682371351453993,0.945230695936415,0.9871004137614219,0.010362257792754844,0.010607181280258204,,0.2388781621019088,0.19458912037037035,0.005900229105540835,0.0,147123712.0,57131008.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w4_b64_r0.02,dim,4,0.02,1152,0.3764297864146622,0.39497887537215226,0.9769377354551843,0.140625,0.966835445827908,0.9974297417534722,0.9953748914930556,0.9910685221354166,0.9826702541775174,0.966835445827908,0.9930831118364087,0.022291919179297504,0.021903771903771904,,0.30756419713429795,0.28953993055555555,0.008800427753919668,0.0,120215040.0,85213184.0
Aggressive,streak2_bucket8_m0,dim_had_random_w4_b64_r0.02,dim,4,0.02,1152,0.45367531507570796,0.44169573720893746,0.9754439463590635,0.019965277777777776,0.9481900533040365,0.9941813151041666,0.9900783962673612,0.9828101264105903,0.97021484375,0.9481900533040365,0.9879141476843584,0.01745092680417343,0.018539266832393823,,0.23054508536315443,0.18790819279100526,0.010492492309566595,0.0,144854528.0,101597184.0
