policy_role,verifier,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,output_norm_ratio,preprojection_cosine,preprojection_relative_l2,per_head_relative_l2_mean,per_head_relative_l2_worst,attention_js,attention_kl_eps1e8,net_qk_reduction,physical_key_byte_reduction,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Balanced,dim_had_even_w16_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,0.9999990463256836,0.0014213921967893839,0.001953125,0.9999491572380066,0.9999998807907104,0.0003686122363433242,0.00023782734933774918,0.0022734184749424458,6.264741386985406e-06,0.00011116464156657457,0.4757574832941751,0.4746583934880604,1.0,1.0,0.9931640625,0.0
Balanced,dim_had_random_w32_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,0.9999996423721313,0.0007637109374627471,0.001953125,1.0000354051589966,1.0,0.00015671773871872574,7.999147055670619e-05,0.0006503373151645064,1.3212568319431739e-06,1.961489033419639e-05,0.4271809111158575,0.4261691147356238,1.0,1.0,0.9951171875,0.5
Balanced,dim_had_random_w32_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,0.9999996423721313,0.0007637109374627471,0.001953125,1.0000354051589966,1.0,0.00015671773871872574,7.999147055670619e-05,0.0006503373151645064,1.2626521765923826e-06,1.9464987417450175e-05,0.390565404448784,0.3896194071332846,1.0,1.0,0.99609375,0.75
Balanced,head_dynamic_abs_w16_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,0.9999998807907104,0.0005601373850367963,0.0009765625,0.9999864101409912,1.0,0.00013295521785039455,6.693715113215148e-05,0.0010307269403710961,2.3920702574287134e-07,1.5361139958258718e-05,0.4110700881823452,-0.0314332244456627,1.0,1.0,0.99951171875,0.75
Balanced,head_dynamic_abs_w16_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,1.0000001192092896,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2681202861131169e-05,0.3764074085375156,-0.0587236727887428,1.0,1.0,1.0,0.75
Balanced,head_dynamic_abs_w8_b64_r0.05,4,8,code_heldout_3,long-code,32768,32773,0.9999998807907104,0.0005601373850367963,0.0009765625,0.9999864101409912,1.0,0.00013295521785039455,6.693715113215148e-05,0.0010307269403710961,2.3920702574287134e-07,1.5361139958258718e-05,0.4899154792054435,-0.0314332244456627,1.0,1.0,0.99951171875,0.75
Balanced,head_dynamic_abs_w8_b64_r0.1,4,8,code_heldout_3,long-code,32768,32773,0.9999998807907104,0.0005601373850367963,0.0009765625,0.9999864101409912,1.0,0.00013295521785039455,6.693715113215148e-05,0.0010307269403710961,2.3920702574287134e-07,1.5361139958258718e-05,0.4540322826717115,-0.0587236727887428,1.0,1.0,0.99951171875,0.75
Aggressive,dim_had_even_w16_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.9999970197677612,0.002469414146617055,0.001953125,1.0002650022506714,0.999999463558197,0.0010905781527981162,0.0009061666787602007,0.005575127899646759,3.287012077635154e-05,0.0005845407722517848,0.4984438884481601,0.4973192122015107,1.0,1.0,0.9814453125,0.0
Aggressive,dim_had_even_w16_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,0.9999973177909851,0.0023884435649961233,0.001953125,1.0002381801605225,0.9999995231628418,0.001076138811185956,0.0008880431414581835,0.005497937556356192,2.5677909434307367e-05,0.00046861119335517287,0.4691523768841155,0.4680794461196393,1.0,1.0,0.984375,0.0
Aggressive,dim_had_random_w32_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.9999995231628418,0.001108579570427537,0.0009765625,1.0000214576721191,0.9999999403953552,0.00033403272391296923,0.0002975502284243703,0.0011231068056076765,1.699946187727619e-05,0.0002431973407510668,0.4227741502410447,0.4217831498233431,1.0,1.0,0.98583984375,0.75
